"speed","gender","height"
110,"male",70
90,"female",65
0,"male",69
60,"female",61
75,"female",62
103,"female",68
90,"female",67
95,"female",62
100,"female",65
90,"male",72
40,"male",72
135,"male",67
80,"female",61
95,"male",67.5
70,"female",67
80,"female",66
95,"female",63
120,"male",72
90,"male",69
90,"female",63
100,"female",65
110,"female",63
85,"female",66
95,"female",67
80,"male",79
110,"female",63
80,"female",61
90,"male",73
110,"male",72
40,"female",65
128,"female",64
105,"female",65
120,"male",70
90,"female",60
90,"female",64
85,"male",70
100,"female",64
60,"female",62
80,"female",67
90,"female",64
90,"female",65
100,"male",71
80,"female",66
80,"female",65
90,"male",65
120,"male",70
95,"female",63
90,"female",65.5
100,"female",68
80,"female",63
60,"female",66
80,"female",58
90,"female",71
105,"male",67
80,"female",68
90,"male",69
75,"female",64
80,"female",63
75,"female",60
109,"male",73
95,"female",63
110,"male",69
85,"female",67
50,"female",60
70,"female",64
115,"female",65
100,"female",68
110,"male",75
70,"female",64
111,"male",71
95,"female",70
80,"female",64
110,"female",67
110,"male",71
125,"female",60.2
65,"female",64
100,"male",70
110,"female",67
90,"female",63
87,"female",60
99,"male",65
100,"male",68
135,"male",70
95,"female",62
100,"male",68
90,"female",64
110,"female",66
80,"male",71
110,"female",65
70,"female",72
95,"female",65
105,"female",63
100,"male",74
115,"female",67
75,"male",71
100,"female",66
115,"male",67
65,"female",63
70,"female",62
125,"male",76
115,"male",75
80,"female",67
85,"male",72
85,"female",62
90,"female",69
110,"male",72
110,"male",67
90,"female",69
90,"female",63
120,"male",70
90,"female",62
130,"male",69
90,"female",64
100,"male",69
100,"female",59
90,"male",72
77,"female",67
105,"male",67
110,"male",70
95,"female",60
120,"male",67
85,"female",63
100,"female",63
25,"male",68
100,"female",66
85,"male",70
100,"female",64
110,"female",65
120,"female",66
80,"female",63
100,"male",66
90,"female",68
115,"female",64
110,"male",68
95,"female",63
95,"female",63.5
85,"female",63
50,"female",63.5
80,"female",62
50,"female",62
90,"female",62
90,"male",68
90,"male",66
70,"female",62
90,"male",68
93,"female",67
80,"female",64
95,"female",68
100,"female",66
120,"female",63
85,"female",63
90,"male",64
80,"male",66
90,"female",65
110,"male",74
90,"male",68
75,"female",65
100,"male",76
120,"male",75
110,"female",65
135,"male",60
80,"female",64
42,"female",62
85,"female",66
85,"female",63
140,"male",70
85,"female",71
130,"female",65
100,"male",60
80,"male",71
80,"female",66
100,"female",63
80,"female",66
90,"female",63
83,"female",69
100,"female",69
90,"female",64
120,"male",70
70,"female",63
130,"male",68
90,"male",71
80,"female",61
85,"female",64
80,"female",64
90,"female",63
85,"female",64.9
80,"female",63
75,"female",52
85,"female",63
85,"female",67
80,"female",65
90,"female",65
120,"male",70
75,"female",63
100,"female",67
105,"male",74
70,"female",63
110,"female",64
90,"female",60
90,"female",65
85,"female",66
120,"male",72
100,"male",78
90,"female",60
100,"female",62
110,"female",61
90,"female",62
100,"male",64
100,"female",62.5
100,"female",62.5
70,"male",69
50,"female",61
85,"male",72
140,"female",70
90,"female",66
85,"female",66
90,"female",68
100,"male",69
90,"female",61
75,"female",63
100,"female",66
102,"female",62
80,"female",63
125,"male",66
90,"female",69
100,"female",68
95,"male",75
90,"male",69
90,"female",67
98,"female",66
130,"male",69
120,"female",67
110,"female",63
90,"male",73
48,"female",63
60,"female",65
95,"female",59
100,"female",64
105,"male",77
85,"female",68
87,"female",64
60,"female",68
90,"female",69
85,"male",71
75,"female",64
95,"female",69
90,"male",71
80,"female",63
40,"female",62
95,"male",82
100,"male",71
80,"male",71
120,"female",61
88,"female",61
110,"female",66
97,"female",65.5
60,"female",62
