"speed","gender","height"
85,"female",69
40,"male",71
87,"female",64
110,"female",60
120,"female",61
90,"female",65
80,"female",61
95,"male",69
110,"female",63
90,"male",72
110,"male",70
70,"male",68
102,"female",63
120,"male",78
70,"female",65
120,"male",71
45,"female",64
100,"male",70
70,"female",62
80,"female",63
85,"male",61
95,"female",62
100,"male",67
110,"male",72
110,"male",72
0,"male",72
90,"female",60
110,"male",60
100,"female",67
90,"female",63
80,"female",62
75,"female",68
105,"female",68
90,"female",65
80,"female",62
80,"female",64
110,"female",67
35,"female",62
70,"female",61
85,"female",64
90,"male",70
80,"female",66
0,"female",64
80,"female",62
80,"male",70
70,"female",62
70,"male",70
95,"female",64
40,"female",61
75,"female",62
95,"female",62
90,"female",62
130,"male",70
110,"male",72
70,"female",66
70,"female",61
80,"female",62
80,"female",63
90,"male",69
95,"female",63
65,"female",64
80,"female",62
0,"female",68
100,"female",62
110,"female",62
120,"male",69
115,"male",71
90,"male",75
120,"female",63
90,"male",70
85,"female",72
85,"female",68
110,"female",67
107,"male",70
80,"female",61
95,"female",63
85,"female",64
90,"male",71
80,"female",64
70,"female",68
100,"female",67
77,"male",69
110,"female",65
110,"female",60
95,"female",66
90,"female",59
80,"female",69
90,"female",69
110,"male",71
100,"male",67.5
95,"female",68
90,"female",68
90,"female",67.5
90,"female",65
82,"male",67
99,"female",69
90,"female",63
90,"male",68
100,"female",70
100,"male",72
130,"female",73
125,"female",61
90,"female",68
100,"female",66
83,"female",64
40,"female",61.5
95,"male",76
90,"female",64
90,"male",68
75,"female",64
30,"female",67
100,"male",75
85,"female",67
103,"female",64
110,"female",61
80,"male",66
85,"female",63
90,"male",69
110,"male",69
60,"male",66
115,"male",70
100,"female",57
145,"male",69
25,"female",64
85,"female",63
90,"female",60
88,"female",65
60,"male",72
120,"female",63
85,"female",67
95,"female",60
96,"female",66
70,"female",62
0,"female",68
90,"female",65
100,"female",69
60,"male",70
100,"female",69
90,"female",65
110,"male",69
120,"male",70
105,"female",64
70,"male",60
85,"male",72
95,"male",70
65,"female",63
100,"female",71
110,"female",62
100,"male",71
95,"female",67
90,"female",65
96,"female",63
96,"female",63
100,"female",65
90,"female",68
100,"male",73.5
90,"male",70
60,"female",61
98,"female",64
140,"male",69
90,"male",70
90,"male",69
90,"male",69
120,"male",73
85,"male",72
75,"female",66
85,"female",64
85,"female",64
96,"male",68.5
80,"female",64
120,"male",71
85,"male",68
118,"female",64
185,"male",75
80,"female",62
90,"female",70
110,"male",65
85,"female",64
70,"female",65
110,"female",65
65,"female",62
40,"male",52
90,"female",66
100,"female",68
105,"male",73
90,"female",60
30,"female",59
70,"female",67
80,"female",63
80,"female",60.5
80,"male",67
90,"female",66
100,"male",68
100,"female",65
110,"male",71
90,"male",67
80,"female",59
85,"female",60
85,"female",69
85,"female",62
90,"female",64
90,"female",71
90,"male",68
95,"female",66
110,"male",71
75,"female",65
85,"male",74
85,"male",69
85,"female",57
98,"male",70
108,"female",67
0,"male",68
60,"male",70
85,"male",68
105,"male",74
110,"male",74
80,"female",64
75,"female",63
100,"female",64
100,"female",63
120,"male",75
80,"female",60
100,"female",67
100,"female",62
70,"female",67
70,"female",61
80,"male",67
60,"female",66
95,"female",66
100,"male",68
95,"female",62
85,"female",65
85,"female",66
85,"female",65
90,"female",70
110,"female",63
65,"male",73
95,"female",64
95,"female",67
155,"male",70
85,"female",68
90,"male",70
90,"female",62
90,"female",63
95,"female",63
95,"female",63
100,"female",67
110,"male",66
85,"female",62
90,"male",68
90,"male",68
110,"male",72
120,"male",67
45,"female",64
85,"female",69
90,"male",72
90,"female",72
95,"female",66
95,"female",52
100,"male",67
117,"male",70
119,"male",70
120,"male",69
135,"male",72
85,"female",65
80,"female",66
80,"female",65
85,"female",65
80,"female",63
85,"female",64
90,"female",61
90,"male",73
85,"female",64
90,"female",67
110,"male",72
56,"male",66
80,"female",63
100,"male",72
105,"male",69
110,"female",61
86,"female",66
110,"male",73
85,"female",64
95,"female",63
80,"female",67
97,"male",68.5
80,"female",63
105,"male",70
80,"female",59
110,"female",68.5
110,"female",59
85,"female",63
100,"male",75
88,"female",77
65,"male",68
90,"female",67
100,"female",65
100,"female",63
95,"male",66
110,"female",63
115,"male",68
80,"female",69.5
90,"male",72
90,"female",65
85,"male",66
105,"female",67
110,"male",68
80,"female",66
80,"male",74
95,"female",74
85,"male",73
90,"female",67
95,"male",72
55,"female",62
50,"female",63
80,"female",65
95,"female",71
75,"female",64
90,"female",65
90,"female",64
110,"female",64
25,"female",66
95,"female",60
0,"female",64
89,"female",59
90,"male",71
80,"female",65
85,"male",66
95,"female",62
85,"male",72
90,"male",65
60,"female",64
100,"male",67
100,"male",67
100,"male",67
100,"male",71
110,"male",72
75,"female",65
50,"female",64
70,"female",70
75,"female",65
95,"female",66
100,"male",74
0,"female",65
45,"female",65
70,"male",70
80,"female",64
85,"male",74
100,"female",65
100,"female",66.5
136,"male",73
70,"female",62
100,"female",61
100,"female",63.8
83,"female",60
113,"female",67
100,"female",60
70,"female",67
80,"female",66
90,"female",62
95,"female",62
100,"female",64
85,"female",64
100,"female",67
95,"male",63
90,"female",62
80,"female",64
100,"female",70
95,"female",70
90,"female",66
90,"male",67
60,"female",67
100,"female",61
100,"male",66
90,"female",64
100,"male",71
110,"male",73
100,"female",63
0,"female",60
95,"female",65
110,"male",70
65,"female",62
90,"male",75
95,"female",62
90,"male",72
85,"female",66
50,"female",67
100,"female",64
80,"female",62
120,"female",64
100,"male",68
95,"male",74
70,"male",71
105,"male",74
80,"female",62
130,"female",61.5
90,"female",64
100,"female",71
0,"female",67
75,"female",66
100,"male",71
102,"female",69
120,"female",67
92,"female",64
90,"male",67
90,"female",65
110,"female",63.5
110,"female",67
100,"female",69
90,"male",72
120,"male",70
80,"female",63
120,"male",73
130,"male",72
85,"female",70
90,"female",67
85,"female",64
125,"male",71
70,"female",62
95,"male",71
105,"male",75
114,"male",72
50,"male",71
80,"female",61
85,"male",70
90,"female",65
103,"female",61
110,"female",66
85,"female",68
85,"female",63
120,"female",59
100,"female",68
100,"female",65
85,"female",61
120,"female",64
70,"female",64
75,"female",67
130,"male",68
95,"male",70
80,"male",66.5
100,"male",69
0,"female",61
120,"female",63
90,"female",68
90,"female",65
80,"female",67
90,"female",66
95,"female",65
80,"male",64
65,"male",60
90,"female",62
95,"female",61
60,"male",65
90,"male",67
30,"female",62
90,"female",61
85,"female",70
100,"male",67
100,"female",69
95,"male",70
40,"female",63
65,"male",68
90,"female",63
80,"female",66
90,"female",63
25,"male",68
30,"male",68
85,"male",72
95,"female",65
110,"male",71
142,"male",72
100,"female",66
90,"male",64
90,"female",63
105,"female",63
90,"female",64
55,"female",65
90,"female",67
120,"male",74
100,"female",62
110,"male",69
75,"female",65
80,"female",66
110,"female",67
100,"female",64
85,"female",70
90,"female",62
80,"female",61.5
90,"male",68
85,"female",66
90,"female",61
65,"male",66
120,"female",64
85,"female",68
85,"female",62
95,"male",69
120,"female",67
90,"male",71
85,"female",62
100,"female",60
75,"female",63
90,"male",67
100,"female",55
100,"female",64
115,"male",68
45,"female",60
90,"female",65
120,"male",68
0,"female",66
90,"female",64
95,"female",66
85,"female",61
85,"female",64
90,"male",70
110,"male",71
0,"female",63
80,"female",64
100,"female",62
90,"male",72
95,"female",67
90,"female",62
70,"female",63
100,"female",66
70,"female",65
85,"female",67
110,"female",64
110,"female",62
100,"male",70
100,"male",68
95,"female",63
90,"female",64
90,"female",62
90,"female",63
75,"female",64
75,"female",64
100,"female",63
95,"female",70
92,"female",65
0,"female",61
90,"female",63
110,"female",68
95,"female",66
80,"male",72
90,"male",70
100,"male",67
90,"female",62
80,"female",61
100,"male",68
110,"male",71
100,"female",59
55,"female",62
100,"female",66
131,"female",64
110,"male",71
100,"female",65
70,"female",61
100,"female",67
100,"male",64.8
110,"female",64
141,"male",70
65,"male",68
104,"male",69
95,"male",72
100,"female",62
75,"female",65
85,"male",73
95,"female",66
115,"male",75
95,"male",62
85,"female",63
110,"male",71
75,"male",60
110,"female",61
142,"male",72
110,"male",72
135,"male",71
100,"male",73
85,"female",66
0,"female",62
80,"female",63
100,"female",67
110,"male",67
110,"male",70
85,"female",63
80,"male",66
80,"male",66
90,"male",56
145,"male",72
100,"female",63
100,"female",64
80,"female",63
80,"female",60
125,"female",61
80,"male",67
109,"male",71
120,"male",74
85,"female",64
90,"female",66
120,"female",66
70,"female",60
75,"female",63
50,"female",62
100,"female",62
85,"female",65
70,"female",67
70,"female",63
120,"male",73
100,"female",73
85,"female",64
85,"female",64
95,"female",67
100,"female",72
100,"male",70
90,"female",60
120,"male",73
95,"female",62
85,"female",66
85,"female",66
90,"female",65
110,"male",73
85,"female",66
85,"female",69
100,"female",65
95,"male",64
145,"male",76
90,"female",68
110,"female",71
90,"female",66
50,"male",70
120,"female",67
145,"male",72
107,"male",70
60,"male",72
